iter	Passed	Remaining
0	146	145875
1	146	73343
2	147	49088
3	148	36949
4	149	29675
5	149	24822
6	150	21351
7	151	18747
8	151	16726
9	152	15104
10	153	13779
11	153	12675
12	154	11739
13	155	10940
14	156	10247
15	156	9638
16	157	9110
17	158	8637
18	159	8218
19	159	7835
20	160	7488
21	161	7171
22	162	6882
23	162	6617
24	163	6371
25	164	6144
26	164	5935
27	165	5740
28	166	5559
29	166	5391
30	167	5233
31	168	5085
32	168	4946
33	169	4816
34	170	4693
35	171	4580
36	171	4476
37	172	4371
38	173	4272
39	174	4178
40	174	4089
41	175	4008
42	176	3928
43	177	3849
44	177	3774
45	178	3702
46	179	3634
47	179	3568
48	180	3506
49	181	3446
50	182	3387
51	182	3331
52	183	3277
53	184	3228
54	185	3180
55	185	3132
56	186	3085
57	187	3041
58	187	2997
59	188	2955
60	189	2914
61	190	2875
62	190	2836
63	191	2799
64	192	2763
65	192	2729
66	193	2695
67	194	2662
68	194	2630
69	195	2599
70	196	2572
71	197	2543
72	198	2516
73	199	2490
74	199	2463
75	200	2436
76	201	2410
77	201	2384
78	202	2359
79	203	2335
80	203	2311
81	204	2288
82	204	2261
83	205	2239
84	206	2218
85	206	2197
86	207	2177
87	208	2157
88	208	2137
89	209	2119
90	210	2101
91	211	2083
92	211	2066
93	212	2050
94	213	2034
95	214	2018
96	215	2002
97	215	1987
98	216	1972
99	217	1956
100	218	1941
101	218	1927
102	219	1912
103	220	1898
104	221	1884
105	221	1870
106	222	1859
107	223	1846
108	224	1833
109	225	1821
110	225	1808
111	226	1797
112	227	1785
113	228	1773
114	228	1761
115	229	1749
116	230	1737
117	230	1725
118	231	1714
119	232	1703
120	232	1692
121	233	1680
122	234	1669
123	234	1659
124	235	1650
125	236	1640
126	237	1629
127	237	1620
128	238	1611
129	239	1602
130	240	1593
131	241	1585
132	241	1576
133	242	1568
134	243	1559
135	244	1550
136	244	1542
137	245	1533
138	246	1525
139	247	1517
140	247	1509
141	248	1500
142	249	1493
143	249	1485
144	250	1477
145	251	1470
146	252	1463
147	252	1455
148	253	1448
149	254	1441
150	255	1435
151	256	1429
152	256	1422
153	257	1415
154	258	1408
155	259	1401
156	259	1395
157	260	1388
158	261	1382
159	262	1376
160	262	1368
161	263	1362
162	264	1355
163	264	1349
164	265	1343
165	266	1337
166	267	1332
167	267	1326
168	268	1320
169	269	1315
170	270	1310
171	271	1304
172	271	1299
173	272	1294
174	273	1289
175	274	1284
176	275	1278
177	275	1273
178	276	1268
179	277	1262
180	277	1257
181	278	1252
182	279	1247
183	280	1243
184	281	1238
185	281	1234
186	282	1229
187	283	1224
188	284	1220
189	285	1215
190	286	1211
191	286	1207
192	287	1202
193	288	1198
194	289	1193
195	289	1189
196	290	1184
197	291	1180
198	292	1176
199	293	1172
200	293	1167
201	294	1163
202	295	1159
203	296	1156
204	297	1152
205	298	1148
206	298	1144
207	299	1141
208	300	1137
209	301	1133
210	302	1129
211	302	1125
212	303	1121
213	304	1118
214	305	1114
215	305	1110
216	306	1106
217	307	1102
218	308	1099
219	308	1095
220	309	1091
221	310	1088
222	311	1085
223	312	1082
224	313	1078
225	314	1075
226	314	1072
227	315	1069
228	316	1066
229	317	1062
230	318	1059
231	319	1056
232	319	1052
233	320	1049
234	321	1046
235	322	1043
236	323	1039
237	323	1036
238	324	1033
239	326	1032
240	327	1029
241	327	1026
242	328	1023
243	329	1020
244	330	1017
245	331	1014
246	331	1011
247	332	1008
248	333	1005
249	334	1002
250	335	999
251	335	996
252	336	993
253	337	991
254	338	988
255	339	986
256	340	983
257	340	980
258	341	977
259	342	975
260	343	972
261	344	969
262	344	966
263	345	963
264	346	961
265	347	958
266	348	955
267	348	953
268	349	950
269	350	948
270	351	946
271	353	946
272	354	944
273	355	941
274	356	939
275	357	937
276	358	934
277	358	932
278	360	930
279	361	928
280	361	926
281	362	923
282	363	921
283	364	919
284	365	917
285	366	916
286	368	915
287	369	912
288	370	910
289	370	908
290	371	905
291	372	903
292	373	900
293	374	898
294	375	896
295	375	894
296	376	891
297	378	890
298	378	888
299	379	886
300	380	883
301	381	881
302	382	880
303	383	878
304	384	875
305	385	873
306	386	871
307	387	869
308	387	867
309	388	865
310	389	862
311	390	861
312	391	859
313	392	857
314	393	855
315	394	853
316	395	851
317	396	849
318	397	847
319	397	845
320	398	843
321	399	841
322	400	839
323	401	836
324	401	834
325	402	832
326	403	830
327	404	828
328	405	826
329	406	824
330	407	822
331	407	820
332	408	818
333	409	816
334	410	814
335	411	813
336	412	811
337	413	808
338	413	806
339	414	804
340	415	802
341	416	800
342	417	799
343	418	797
344	419	795
345	419	793
346	420	791
347	421	790
348	422	788
349	423	786
350	424	784
351	425	782
352	426	781
353	426	779
